0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:11:31 +0900] "GET /jv/mypageMain.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:11:31 +0900] "GET /jv/login HTTP/1.1" 200 15864
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:11:36 +0900] "POST /jv/login.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:11:36 +0900] "GET /jv HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:11:36 +0900] "GET /jv/ HTTP/1.1" 200 31262
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:11:37 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 48988160
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:11:37 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 43745280
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:11:41 +0900] "GET /jv/mypageMain.me HTTP/1.1" 200 15366
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:14:58 +0900] "GET /jv/mypagePwdConfirm.me HTTP/1.1" 200 15307
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:17:50 +0900] "GET /jv/mypageMemUpdatePage.me HTTP/1.1" 200 20883
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:19:09 +0900] "GET /jv/mypageTicketing.me HTTP/1.1" 200 20384
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:19:11 +0900] "GET /jv/mypageQnA.me HTTP/1.1" 200 18789
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:20:14 +0900] "GET /jv/mypageQnADetail.me?qno=13 HTTP/1.1" 200 17181
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:21:21 +0900] "GET /jv/mypageTicketing.me HTTP/1.1" 200 20384
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:21:23 +0900] "GET /jv/ticketingSearch6.me?memNo=2 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:21:23 +0900] "GET /jv/ticketingSearch3.me?memNo=2 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:26:40 +0900] "GET /jv HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:26:40 +0900] "GET /jv/ HTTP/1.1" 200 31180
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:26:40 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 23068672
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:26:40 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 33826
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:26:40 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 18612224
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:26:41 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 36340770
